name,municipality,iata_code
Cut Bank International Airport,Cut Bank,CTB
Cross City Airport,Cross City,CTY
Sampson County Airport,Clinton,CTZ
Jim Hamilton L.B. Owens Airport,Columbia,CUB
Cushing Municipal Airport,Cushing,CUH
Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,CVG
Sharp County Regional Airport,Ash Flat,CKK
Clovis Municipal Airport,Clovis,CVN
Corvallis Municipal Airport,Corvallis,CVO
Cannon Air Force Base,Clovis,CVS
Central Wisconsin Airport,Mosinee,CWA
Kickapoo Downtown Airport,Wichita Falls,KIP
Chennault International Airport,Lake Charles,CWF
Clinton Municipal Airport,Clinton,CWI
Calexico International Airport,Calexico,CXL
Conroe-North Houston Regional Airport,Houston,CXO
Carson Airport,Carson City,CSN
Capital City Airport,Harrisburg,HAR
Cheyenne Regional Jerry Olson Field,Cheyenne,CYS
Dimmit County Airport,Carrizo Springs,CZT
Tioga Municipal Airport,Tioga,VEX
Davison Army Air Field,Fort Belvoir,DAA
Daytona Beach International Airport,Daytona Beach,DAB
Barstow Daggett Airport,Daggett,DAG
Dallas Love Field,Dallas,DAL
Danville Regional Airport,Danville,DAN
James M Cox Dayton International Airport,Dayton,DAY
W H 'Bud' Barron Airport,Dublin,DBN
Dubuque Regional Airport,Dubuque,DBQ
Ronald Reagan Washington National Airport,Washington,DCA
Pryor Field Regional Airport,Decatur,DCU
Dodge City Regional Airport,Dodge City,DDC
Decatur Airport,Decatur,DEC
Decorah Municipal Airport,Decorah,DEH
Denver International Airport,Denver,DEN
Coleman A. Young Municipal Airport,Detroit,DET
Defiance Memorial Airport,Defiance,DFI
Dallas Fort Worth International Airport,Dallas-Fort Worth,DFW
Douglas Municipal Airport,Douglas,DGL
Converse County Airport,Douglas,DGW
Dothan Regional Airport,Dothan,DHN
Dalhart Municipal Airport,Dalhart,DHT
Dickinson Theodore Roosevelt Regional Airport,Dickinson,DIK
Chautauqua County-Dunkirk Airport,Dunkirk,DKK
Dillon County Airport,Dillon,DLL
Laughlin Air Force Base,Del Rio,DLF
Duluth International Airport,Duluth,DLH
Dillon Airport,Dillon,DLN
Columbia Gorge Regional Airport,Dallesport / The Dalles,DLS
Davis Monthan Air Force Base,Tucson,DMA
Deming Municipal Airport,Deming,DMN
Sedalia Memorial Airport,Sedalia,DMO
Daniel Field,Augusta,DNL
Dalton Municipal Airport,Dalton,DNN
